100090083893296,100090265785270,Directed,152358,,1
donnauli.donnauli,100069721502141,Directed,156491,,1
donnauli.donnauli,100078540712802,Directed,156485,,1
100069721502141,donnauli.donnauli,Directed,156489,,1
100078540712802,donnauli.donnauli,Directed,156487,,1
100075947730198,donnauli.donnauli,Directed,156488,,1
100075947730198,100078540712802,Directed,156486,,1
100078540712802,100075947730198,Directed,156484,,1
donnauli.donnauli,100075947730198,Directed,156483,,1
donita.ita.161,diamond.sitorus.7,Directed,156421,,1
donita.ita.161,rezah1997,Directed,156307,,1
donita.ita.161,dewi.nova.1441,Directed,156160,,1
donita.ita.161,defryindry.indry,Directed,156124,,1
donita.ita.161,dedi.doank.5243,Directed,156095,,1
donita.ita.161,bilqissila.bilqis.5,Directed,155979,,1
donita.ita.161,ayu.azari.961,Directed,155874,,1
donita.ita.161,al.r.pratama.750,Directed,155699,,1
donita.ita.161,yusdiana.manurung,Directed,154374,,1
donita.ita.161,100085334845884,Directed,154334,,1
donita.ita.161,zul.marpaung.77,Directed,154329,,1
donita.ita.161,100087409873573,Directed,153966,,1
donita.ita.161,sukimin.min.14019,Directed,153800,,1
donita.ita.161,100032030301691,Directed,153752,,1
donita.ita.161,100071735144971,Directed,153645,,1
donita.ita.161,sartine.enggel,Directed,153470,,1
donita.ita.161,100077764404055,Directed,153351,,1
donita.ita.161,safrijal.safrijal.71216,Directed,153314,,1
darwis.siahaan.524,donita.ita.161,Directed,154688,,1
zul.marpaung.77,donita.ita.161,Directed,154687,,1
sukimin.min.14019,donita.ita.161,Directed,154686,,1
evasusantihutapea.eva,donita.ita.161,Directed,154685,,1
100071735144971,donita.ita.161,Directed,154684,,1
100077764404055,donita.ita.161,Directed,154682,,1
100087409873573,donita.ita.161,Directed,154681,,1
100090154244067,donita.ita.161,Directed,154680,,1
yusdiana.manurung,donita.ita.161,Directed,154679,,1
darma.w.siregarr,donita.ita.161,Directed,154678,,1
dewi.nova.1441,donita.ita.161,Directed,154675,,1
safrijal.safrijal.71216,donita.ita.161,Directed,154674,,1
defryindry.indry,donita.ita.161,Directed,154672,,1
dina.e.moet.1,donita.ita.161,Directed,154669,,1
100085334845884,donita.ita.161,Directed,154668,,1
sukimin.min.14019,diamond.sitorus.7,Directed,156424,,1
sukimin.min.14019,darwinsitorus.bangtorus,Directed,156084,,1
sukimin.min.14019,100073290743866,Directed,155665,,1
sukimin.min.14019,sriono.ono.754,Directed,155233,,1
sukimin.min.14019,kakekazka.kakekazka,Directed,154955,,1
sukimin.min.14019,barlang.caffe,Directed,154854,,1
sukimin.min.14019,100079686950964,Directed,153954,,1
sukimin.min.14019,100053550765567,Directed,153652,,1
sukimin.min.14019,100070321208826,Directed,153479,,1
sukimin.min.14019,sanimen.sanimen.33,Directed,153412,,1
sukimin.min.14019,safrijal.safrijal.71216,Directed,153322,,1
alinpane.alinpane,sukimin.min.14019,Directed,153799,,1
dewi.nova.1441,sukimin.min.14019,Directed,153798,,1
safrijal.safrijal.71216,sukimin.min.14019,Directed,153797,,1
sanimen.sanimen.33,sukimin.min.14019,Directed,153796,,1
evahutapeya.eva,sukimin.min.14019,Directed,153793,,1
100045391128751,sukimin.min.14019,Directed,153792,,1
diamond.sitorus.7,sukimin.min.14019,Directed,153791,,1
kakekazka.kakekazka,sukimin.min.14019,Directed,153790,,1
safrijal.rijal.3110,sukimin.min.14019,Directed,153789,,1
yusdiana.manurung,sukimin.min.14019,Directed,153788,,1
100053550765567,sukimin.min.14019,Directed,153787,,1
bilqissila.bilqis.5,sukimin.min.14019,Directed,153786,,1
barlang.caffe,sukimin.min.14019,Directed,153785,,1
bang.napitupulu.10,sukimin.min.14019,Directed,153784,,1
evasusantihutapea.eva,sukimin.min.14019,Directed,153783,,1
100070367738996,sukimin.min.14019,Directed,153782,,1
100073290743866,sukimin.min.14019,Directed,153781,,1
100073953099870,sukimin.min.14019,Directed,153780,,1
100079686950964,sukimin.min.14019,Directed,153779,,1
100070321208826,sukimin.min.14019,Directed,152366,,1
darwinsitorus.bangtorus,sukimin.min.14019,Directed,152365,,1
sriono.ono.754,sukimin.min.14019,Directed,152364,,1
sriono.ono.754,100073290743866,Directed,155659,,1
sriono.ono.754,jtk.jtk.7161,Directed,154849,,1
sriono.ono.754,100070021790218,Directed,154663,,1
sriono.ono.754,100079686950964,Directed,153958,,1
sriono.ono.754,100032030301691,Directed,153750,,1
sriono.ono.754,suefsuef.suefsuef,Directed,153698,,1
sriono.ono.754,sriono.sriono.505523,Directed,153668,,1
sriono.ono.754,100071735144971,Directed,153643,,1
sriono.ono.754,sautsiahaan.sautsiahaan.96,Directed,153497,,1
dewi.nova.1441,sriono.ono.754,Directed,155261,,1
siraja.parna.18,sriono.ono.754,Directed,155260,,1
100032030301691,sriono.ono.754,Directed,155258,,1
andro.a.syah.7,sriono.ono.754,Directed,155256,,1
evahutapeya.eva,sriono.ono.754,Directed,155255,,1
sautsiahaan.sautsiahaan.96,sriono.ono.754,Directed,155254,,1
julhen.tan,sriono.ono.754,Directed,155253,,1
100045391128751,sriono.ono.754,Directed,155252,,1
diamond.sitorus.7,sriono.ono.754,Directed,155251,,1
safrijal.rijal.3110,sriono.ono.754,Directed,155250,,1
100048960557089,sriono.ono.754,Directed,155249,,1
ali.yono.1044186,sriono.ono.754,Directed,155248,,1
100057299797461,sriono.ono.754,Directed,155247,,1
jabrit.gobel,sriono.ono.754,Directed,155246,,1
mozezprienbaster.mozezprienbaster,sriono.ono.754,Directed,155245,,1
evasusantihutapea.eva,sriono.ono.754,Directed,155244,,1
100070021790218,sriono.ono.754,Directed,155243,,1
100070321208826,sriono.ono.754,Directed,155242,,1
100070367738996,sriono.ono.754,Directed,155241,,1
jtk.jtk.7161,sriono.ono.754,Directed,155240,,1
100071735144971,sriono.ono.754,Directed,155239,,1
100073953099870,sriono.ono.754,Directed,155238,,1
100079686950964,sriono.ono.754,Directed,155236,,1
suefsuef.suefsuef,sriono.ono.754,Directed,155235,,1
sriono.sriono.505523,sriono.ono.754,Directed,155234,,1
100073290743866,sriono.ono.754,Directed,155232,,1
100069386964226,rezah1997,Directed,156294,,1
100069386964226,edseptian,Directed,156207,,1
100069386964226,100078196651009,Directed,156194,,1
100069386964226,100061686106392,Directed,156180,,1
100069386964226,100076227713024,Directed,156172,,1
100069386964226,defryindry.indry,Directed,156123,,1
100069386964226,kanou.puetrakaleem,Directed,155923,,1
100069386964226,ucpenakluk.ucpenakluk,Directed,155808,,1
100069386964226,suprianto.pane.3,Directed,155079,,1
100069386964226,100075991920504,Directed,154987,,1
100069386964226,100061995351508,Directed,154809,,1
100069386964226,irfann.mansurr,Directed,154615,,1
100069386964226,100070114785141,Directed,154561,,1
100069386964226,100090265117394,Directed,154541,,1
100069386964226,100073169845123,Directed,154537,,1
100069386964226,hendra.dedek.589,Directed,154527,,1
100069386964226,galumang.galumang,Directed,154456,,1
100069386964226,ferdi.zen.3,Directed,154422,,1
100069386964226,syamsidar.dedek.1,Directed,154041,,1
100069386964226,100087409873573,Directed,153987,,1
100069386964226,100007415798224,Directed,153940,,1
100069386964226,supri.sppinang,Directed,153856,,1
100069386964226,sarma.hasibuan.90,Directed,153443,,1
100069386964226,100072227381034,Directed,153425,,1
100069386964226,samsona.samsona.58,Directed,153411,,1
100069386964226,sahrial.sirait.94,Directed,153386,,1
100069386964226,100077094481200,Directed,152587,,1
100069386964226,100089517595679,Directed,152532,,1
100069386964226,tiara.afriza.716,Directed,152482,,1
100069386964226,100073312233911,Directed,152469,,1
100069386964226,100073372478412,Directed,152435,,1
100069386964226,100078011950694,Directed,152421,,1
100069386964226,100086645817243,Directed,152414,,1
100069386964226,100060689464268,Directed,152381,,1
100069386964226,yoko.youngkir,Directed,152367,,1
sahrial.sirait.94,100069386964226,Directed,154444,,1
defryindry.indry,100069386964226,Directed,154443,,1
sundari.akilahsifanah,100069386964226,Directed,154442,,1
dina.e.moet.1,100069386964226,Directed,154441,,1
lika.yusnanda,100069386964226,Directed,154440,,1
bambang.putri.798,cuki.ahha,Directed,156314,,1
